Name,Points_Ep5,Company,Age,TrainingTime,Grade_Final
Kim Sejong,559694,Jellyfish,20,23,A
Jeon Somi,528772,JYP,15,24,B
Choi Yoojung,392773,Fantagio,17,55,A
Pinky,387537,Pledis,18,65,A
Kang Mina,376977,Jellyfish,17,13,A
Cathy,294540,MBK,21,18,A
Dani,273930,MBK,17,57,A
Chaeyeon,251469,MBK,19,8,C
Kim Nayoung,250552,Jellyfish,21,27,A
Jeon Soyeon,230395,Cube,18,18,A
Kim Sohye,227670,Red Line,17,12,F
Yu Yeonjeong,214691,Starship,17,15,A
Kim Doyeon,203007,Fantagio,17,17,A
Kim Chungha,193820,M&H,20,39,A
Heo Chanmi,184926,DubleKick Company,24,124,B
Kwon Eunbean,179721,Cube,16,24,D
Ng Sze Kai (Shin),176067,Chorok Baemjuna,22,24,B
Jung Eunwoo,175904,Pledis,18,34,B
Kim Juna,161825,Music K,22,45,F
Park Soyeon,156148,Loen,17,26,A
Yoon Chaekyung,149977,,,,
Han Hyeri,125095,,,,
Kim Sohee,109501,,,,
Im Nayoung,107785,,,,
Ahn Yeseul,106322,,,,
Park Siyeon,105963,,,,
Cho Shiyoon,102110,,,,
Kang Yebin,88277,,,,
Yoon Seohyung,73558,,,,
Kim Seokyung,72474,,,,
Kang Kyungwon,71200,,,,
Lee Suhyun,65610,,,,
Kim Taeha,64149,,,,
Kim Minji,63132,,,,
Kim Sihyun,60090,,,,
Hwang Insun,59736,,,,
Kim Hyungeun,59191,,,,
Lee Younseo,56821,,,,
Kang Siwon,56224,,,,
Lee Haein,52494,,,,
Oh Seojung,51381,,,,
Kim Minkyung,50652,,,,
Park Haeyeong,47662,,,,
Jeong Haerim,43960,,,,
Lee Sumin,43932,,,,
Park Gaeul,41873,,,,
Lee Jinhee,41286,,,,
Ariyoshi Risa,41244,,,,
Park Sehee,41048,,,,
Chu Yejin,41048,,,,
Kim Minjung,39033,,,,
Kim Yeongkyung,38506,,,,
Lim Jungmin,36760,,,,
Park Hayi,34459,,,,
Seong Hyemin,33641,,,,
Hwang Sooyeon,30858,,,,
Yu Sua,30609,,,,
Shim Chaeeun,30347,,,,
Kang Sira,29703,,,,
Kang Sihyeon,29124,,,,
Hwang Ahyoung,28223,,,,
Kim Dajeong,28000,,,,
Ahn Yumi,27793,,,,
Kim Sihyeon,27656,,,,
Seo Hyerin,27333,,,,
Hwang Riyu,27043,,,,
Hwang Seyoung,26981,,,,
Kim Jisung,26566,,,,
Kim Suhyun,26139,,,,
Choi Eunbin,25659,,,,
Park Minji,24772,,,,
Ham Yeji,24485,,,,
Kim Miso,24114,,,,
Kim Wujeong,23795,,,,
Heo Saem,23722,,,,
Han Jiyeon,23566,,,,
Niwa Siori,23045,,,,
Pyreon Kangyun,21908,,,,
Lee Suhyeon,21762,,,,
Kim Hongeun,21598,,,,
Kim Dohee,21485,,,,
Kim Seola,21394,,,,
Oh Han Areum,21245,,,,
Kim Yunji,21206,,,,
Lee Seojeong,21018,,,,
Kim Jayeon,20932,,,,
Lee Chaerin,20868,,,,
Choi Yubin,20829,,,,
Katherine Lee,20807,,,,
Shin Hyeyeon,20752,,,,
Nam Sujin,20189,,,,
Kim Solee,19899,,,,
Lee Seheun,18731,,,,
Bang Junhee,18579,,,,
Yun Yudam,18206,,,,
Kim Boseon,18034,,,,
Mun Hyeonju,16736,,,,
Kim Hayun,0,,,,
Ma Eunjin,0,,,,
Im Kyeongha,0,,,,
Im Hyeonseon,0,,,,